Station,Time,Lat,Lon,Max Gust (mph),x,y
RUSH,2023-02-17 20:00:00+00:00,43.00099,-77.63739,16,-8642554.721318789,5312122.536254238
RUSH,2023-02-17 21:00:00+00:00,43.00099,-77.63739,22,-8642554.721318789,5312122.536254238
SARA,2023-02-17 21:00:00+00:00,44.707585,-73.67115,14,-8201034.904154876,5575603.603972681
SBRI,2023-02-17 20:00:00+00:00,42.75217,-77.35931,20,-8611598.997318994,5274325.35013664
SBRI,2023-02-17 21:00:00+00:00,42.75217,-77.35931,28,-8611598.997318994,5274325.35013664
SCHA,2023-02-17 20:00:00+00:00,42.89697,-73.61405,20,-8194678.561230581,5296302.755708249
SCHA,2023-02-17 21:00:00+00:00,42.89697,-73.61405,12,-8194678.561230581,5296302.755708249
SCHO,2023-02-17 20:00:00+00:00,42.50631,-73.68584,23,-8202670.187474629,5237126.5616594935
SCHO,2023-02-17 21:00:00+00:00,42.50631,-73.68584,28,-8202670.187474629,5237126.5616594935
SCHU,2023-02-17 20:00:00+00:00,43.116996,-73.578284,17,-8190697.108322868,5329796.819736496
SCHU,2023-02-17 21:00:00+00:00,43.116996,-73.578284,19,-8190697.108322868,5329796.819736496
SCIP,2023-02-17 20:00:00+00:00,42.756216,-76.534035,26,-8519729.804554576,5274938.744287363
SCIP,2023-02-17 21:00:00+00:00,42.756216,-76.534035,27,-8519729.804554576,5274938.744287363
SHER,2023-02-17 20:00:00+00:00,42.64026,-75.4837,29,-8402807.047192223,5257375.0673308745
SHER,2023-02-17 21:00:00+00:00,42.64026,-75.4837,37,-8402807.047192223,5257375.0673308745
SOME,2023-02-17 20:00:00+00:00,41.31037,-73.76711,18,-8211717.122491399,5058229.518503552
SOME,2023-02-17 21:00:00+00:00,41.31037,-73.76711,23,-8211717.122491399,5058229.518503552
SOUT,2023-02-17 20:00:00+00:00,41.040081,-72.465864,20,-8066863.080374615,5018255.400950471
SOUT,2023-02-17 21:00:00+00:00,41.040081,-72.465864,25,-8066863.080374615,5018255.400950471
SPRA,2023-02-17 20:00:00+00:00,42.87427,-74.50859,25,-8294258.298524794,5292853.997468192
SPRA,2023-02-17 21:00:00+00:00,42.87427,-74.50859,31,-8294258.298524794,5292853.997468192
SPRI,2023-02-17 20:00:00+00:00,42.84315,-74.88961,17,-8336673.250906849,5288128.069161122
SPRI,2023-02-17 21:00:00+00:00,42.84315,-74.88961,23,-8336673.250906849,5288128.069161122
STAT,2023-02-17 20:00:00+00:00,40.604014,-74.148499,22,-8254173.151765554,4954108.11140497
STAT,2023-02-17 21:00:00+00:00,40.604014,-74.148499,30,-8254173.151765554,4954108.11140497
STEP,2023-02-17 20:00:00+00:00,42.5262,-73.35906,25,-8166293.204273203,5240130.479496932
STEP,2023-02-17 21:00:00+00:00,42.5262,-73.35906,25,-8166293.204273203,5240130.479496932
STON,2023-02-17 20:00:00+00:00,40.91912,-73.13168,11,-8140981.37845663,5000419.191917486
STON,2023-02-17 21:00:00+00:00,40.91912,-73.13168,16,-8140981.37845663,5000419.191917486
SUFF,2023-02-17 20:00:00+00:00,41.13038,-74.08987,25,-8247646.601339836,5031591.746420955
SUFF,2023-02-17 21:00:00+00:00,41.13038,-74.08987,30,-8247646.601339836,5031591.746420955
TANN,2023-02-17 20:00:00+00:00,42.17071,-74.11343,20,-8250269.288542924,5186585.37408277
TANN,2023-02-17 21:00:00+00:00,42.17071,-74.11343,19,-8250269.288542924,5186585.37408277
TULL,2023-02-17 20:00:00+00:00,42.79463,-76.11555,21,-8473144.267449955,5280764.4982107645
TULL,2023-02-17 21:00:00+00:00,42.79463,-76.11555,27,-8473144.267449955,5280764.4982107645
TUPP,2023-02-17 21:00:00+00:00,44.22128,-74.43826,12,-8286429.198737305,5499749.874319671
TYRO,2023-02-17 20:00:00+00:00,42.40611,-77.0539,17,-8577600.911635824,5222008.215721625
TYRO,2023-02-17 21:00:00+00:00,42.40611,-77.0539,22,-8577600.911635824,5222008.215721625
VOOR,2023-02-17 20:00:00+00:00,42.65242,-73.97562,26,-8234928.349516706,5259215.385624807
VOOR,2023-02-17 21:00:00+00:00,42.65242,-73.97562,28,-8234928.349516706,5259215.385624807
WALL,2023-02-17 20:00:00+00:00,41.63409,-74.1537,22,-8254752.124437171,5106324.520052862
WALL,2023-02-17 21:00:00+00:00,41.63409,-74.1537,23,-8254752.124437171,5106324.520052862
WALT,2023-02-17 20:00:00+00:00,42.2395,-75.17879,24,-8368864.621254448,5196923.171351745
WALT,2023-02-17 21:00:00+00:00,42.2395,-75.17879,26,-8368864.621254448,5196923.171351745
WANT,2023-02-17 20:00:00+00:00,40.6551,-73.50616,15,-8182668.301368894,4961601.327919208
WANT,2023-02-17 21:00:00+00:00,40.6551,-73.50616,26,-8182668.301368894,4961601.327919208
WARW,2023-02-17 20:00:00+00:00,41.24036,-74.39056,27,-8281119.259026464,5047859.614723993
WARW,2023-02-17 21:00:00+00:00,41.24036,-74.39056,34,-8281119.259026464,5047859.614723993
WATE,2023-02-17 20:00:00+00:00,42.87966,-76.81255,19,-8550733.952532865,5293672.772760898
WATE,2023-02-17 21:00:00+00:00,42.87966,-76.81255,24,-8550733.952532865,5293672.772760898
WBOU,2023-02-17 20:00:00+00:00,41.74505,-74.58833,22,-8303134.914720651,5122865.346844908
WBOU,2023-02-17 21:00:00+00:00,41.74505,-74.58833,23,-8303134.914720651,5122865.346844908
WFMB,2023-02-17 21:00:00+00:00,44.393236,-73.858829,13,-8221927.234867467,5526499.4011498215
WGAT,2023-02-17 21:00:00+00:00,43.532408,-75.158597,11,-8366616.746776859,5393364.098176671
WOLC,2023-02-17 20:00:00+00:00,43.22868,-76.84261,18,-8554080.21642611,5346844.303140016
WOLC,2023-02-17 21:00:00+00:00,43.22868,-76.84261,22,-8554080.21642611,5346844.303140016
YORK,2023-02-17 20:00:00+00:00,42.85504,-77.84776,24,-8665973.002596969,5289933.420645727
YORK,2023-02-17 21:00:00+00:00,42.85504,-77.84776,24,-8665973.002596969,5289933.420645727
04V,2023-02-17 04:00:00+00:00,38.1,-106.17,13,-11818790.337521855,4593562.106521998
04V,2023-02-17 05:00:00+00:00,38.1,-106.17,10,-11818790.337521855,4593562.106521998
04V,2023-02-17 09:00:00+00:00,38.1,-106.17,12,-11818790.337521855,4593562.106521998
04V,2023-02-17 10:00:00+00:00,38.1,-106.17,13,-11818790.337521855,4593562.106521998
04V,2023-02-17 11:00:00+00:00,38.1,-106.17,12,-11818790.337521855,4593562.106521998
04V,2023-02-17 12:00:00+00:00,38.1,-106.17,13,-11818790.337521855,4593562.106521998
04V,2023-02-17 13:00:00+00:00,38.1,-106.17,14,-11818790.337521855,4593562.106521998
04V,2023-02-17 14:00:00+00:00,38.1,-106.17,13,-11818790.337521855,4593562.106521998
04V,2023-02-17 15:00:00+00:00,38.1,-106.17,13,-11818790.337521855,4593562.106521998
04V,2023-02-17 16:00:00+00:00,38.1,-106.17,12,-11818790.337521855,4593562.106521998
04W,2023-02-16 23:00:00+00:00,46.0229,-92.8952,10,-10341046.361139307,5784019.721034037
04W,2023-02-17 17:00:00+00:00,46.0229,-92.8952,12,-10341046.361139307,5784019.721034037
04W,2023-02-17 18:00:00+00:00,46.0229,-92.8952,16,-10341046.361139307,5784019.721034037
04W,2023-02-17 19:00:00+00:00,46.0229,-92.8952,14,-10341046.361139307,5784019.721034037
04W,2023-02-17 20:00:00+00:00,46.0229,-92.8952,15,-10341046.361139307,5784019.721034037
04W,2023-02-17 21:00:00+00:00,46.0229,-92.8952,15,-10341046.361139307,5784019.721034037
06C,2023-02-17 19:00:00+00:00,41.9893,-88.1012,13,-9807380.722276354,5159376.770674261
06C,2023-02-17 20:00:00+00:00,41.9893,-88.1012,13,-9807380.722276354,5159376.770674261
06D,2023-02-16 22:00:00+00:00,48.8844,-99.6208,12,-11089736.728418548,6255269.207159585
06D,2023-02-16 23:00:00+00:00,48.8844,-99.6208,12,-11089736.728418548,6255269.207159585
06D,2023-02-17 01:00:00+00:00,48.8844,-99.6208,13,-11089736.728418548,6255269.207159585
06D,2023-02-17 02:00:00+00:00,48.8844,-99.6208,16,-11089736.728418548,6255269.207159585
06D,2023-02-17 03:00:00+00:00,48.8844,-99.6208,17,-11089736.728418548,6255269.207159585
06D,2023-02-17 04:00:00+00:00,48.8844,-99.6208,15,-11089736.728418548,6255269.207159585
06D,2023-02-17 05:00:00+00:00,48.8844,-99.6208,17,-11089736.728418548,6255269.207159585
06D,2023-02-17 06:00:00+00:00,48.8844,-99.6208,20,-11089736.728418548,6255269.207159585
06D,2023-02-17 07:00:00+00:00,48.8844,-99.6208,20,-11089736.728418548,6255269.207159585
06D,2023-02-17 08:00:00+00:00,48.8844,-99.6208,18,-11089736.728418548,6255269.207159585
06D,2023-02-17 09:00:00+00:00,48.8844,-99.6208,15,-11089736.728418548,6255269.207159585
06D,2023-02-17 10:00:00+00:00,48.8844,-99.6208,18,-11089736.728418548,6255269.207159585
06D,2023-02-17 11:00:00+00:00,48.8844,-99.6208,17,-11089736.728418548,6255269.207159585
06D,2023-02-17 12:00:00+00:00,48.8844,-99.6208,17,-11089736.728418548,6255269.207159585
06D,2023-02-17 13:00:00+00:00,48.8844,-99.6208,17,-11089736.728418548,6255269.207159585
06D,2023-02-17 14:00:00+00:00,48.8844,-99.6208,20,-11089736.728418548,6255269.207159585
06D,2023-02-17 15:00:00+00:00,48.8844,-99.6208,18,-11089736.728418548,6255269.207159585
06D,2023-02-17 16:00:00+00:00,48.8844,-99.6208,13,-11089736.728418548,6255269.207159585
06D,2023-02-17 18:00:00+00:00,48.8844,-99.6208,21,-11089736.728418548,6255269.207159585
06D,2023-02-17 19:00:00+00:00,48.8844,-99.6208,26,-11089736.728418548,6255269.207159585
06D,2023-02-17 20:00:00+00:00,48.8844,-99.6208,24,-11089736.728418548,6255269.207159585
06D,2023-02-17 21:00:00+00:00,48.8844,-99.6208,26,-11089736.728418548,6255269.207159585
08D,2023-02-16 23:00:00+00:00,48.3008,-102.4064,12,-11399828.30197229,6157043.928219101
08D,2023-02-17 00:00:00+00:00,48.3008,-102.4064,10,-11399828.30197229,6157043.928219101
08D,2023-02-17 01:00:00+00:00,48.3008,-102.4064,10,-11399828.30197229,6157043.928219101
08D,2023-02-17 02:00:00+00:00,48.3008,-102.4064,10,-11399828.30197229,6157043.928219101
08D,2023-02-17 03:00:00+00:00,48.3008,-102.4064,13,-11399828.30197229,6157043.928219101
08D,2023-02-17 04:00:00+00:00,48.3008,-102.4064,10,-11399828.30197229,6157043.928219101
08D,2023-02-17 05:00:00+00:00,48.3008,-102.4064,13,-11399828.30197229,6157043.928219101
