Station,Time,Lat,Lon,1 Hour Precipitation,x,y
1R7,2023-02-17 05:00:00+00:00,31.6058,-90.4093,0.42,-10064317.23897631,3711676.2573327366
1R7,2023-02-17 06:00:00+00:00,31.6058,-90.4093,0.18,-10064317.23897631,3711676.2573327366
1R7,2023-02-17 07:00:00+00:00,31.6058,-90.4093,0.01,-10064317.23897631,3711676.2573327366
1R8,2023-02-17 11:00:00+00:00,30.8703,-87.8193,0.04,-9775999.75782173,3615916.560019081
1R8,2023-02-17 12:00:00+00:00,30.8703,-87.8193,0.14,-9775999.75782173,3615916.560019081
1R8,2023-02-17 13:00:00+00:00,30.8703,-87.8193,0.02,-9775999.75782173,3615916.560019081
24A,2023-02-17 04:00:00+00:00,35.3159,-83.2071,0.16,-9262572.002384992,4206893.991393118
24A,2023-02-17 05:00:00+00:00,35.3159,-83.2071,0.17,-9262572.002384992,4206893.991393118
24A,2023-02-17 06:00:00+00:00,35.3159,-83.2071,0.10,-9262572.002384992,4206893.991393118
24A,2023-02-17 07:00:00+00:00,35.3159,-83.2071,0.17,-9262572.002384992,4206893.991393118
24A,2023-02-17 08:00:00+00:00,35.3159,-83.2071,0.14,-9262572.002384992,4206893.991393118
24A,2023-02-17 09:00:00+00:00,35.3159,-83.2071,0.07,-9262572.002384992,4206893.991393118
24A,2023-02-17 10:00:00+00:00,35.3159,-83.2071,0.24,-9262572.002384992,4206893.991393118
24A,2023-02-17 11:00:00+00:00,35.3159,-83.2071,0.28,-9262572.002384992,4206893.991393118
24A,2023-02-17 12:00:00+00:00,35.3159,-83.2071,0.10,-9262572.002384992,4206893.991393118
24A,2023-02-17 13:00:00+00:00,35.3159,-83.2071,0.03,-9262572.002384992,4206893.991393118
24J,2023-02-17 20:00:00+00:00,30.3001,-83.0247,0.04,-9242267.3272643,3542183.5208699415
2A0,2023-02-16 23:00:00+00:00,35.4817,-84.9322,0.04,-9454609.255952468,4229536.465260121
2A0,2023-02-17 00:00:00+00:00,35.4817,-84.9322,0.03,-9454609.255952468,4229536.465260121
2A0,2023-02-17 01:00:00+00:00,35.4817,-84.9322,0.07,-9454609.255952468,4229536.465260121
2A0,2023-02-17 02:00:00+00:00,35.4817,-84.9322,0.08,-9454609.255952468,4229536.465260121
2A0,2023-02-17 03:00:00+00:00,35.4817,-84.9322,0.26,-9454609.255952468,4229536.465260121
2A0,2023-02-17 04:00:00+00:00,35.4817,-84.9322,0.20,-9454609.255952468,4229536.465260121
2A0,2023-02-17 05:00:00+00:00,35.4817,-84.9322,0.34,-9454609.255952468,4229536.465260121
2A0,2023-02-17 06:00:00+00:00,35.4817,-84.9322,0.53,-9454609.255952468,4229536.465260121
2A0,2023-02-17 07:00:00+00:00,35.4817,-84.9322,0.09,-9454609.255952468,4229536.465260121
2A0,2023-02-17 08:00:00+00:00,35.4817,-84.9322,0.11,-9454609.255952468,4229536.465260121
2A0,2023-02-17 09:00:00+00:00,35.4817,-84.9322,0.06,-9454609.255952468,4229536.465260121
2A0,2023-02-17 10:00:00+00:00,35.4817,-84.9322,0.03,-9454609.255952468,4229536.465260121
2DP,2023-02-17 08:00:00+00:00,35.6667,-75.9,0.01,-8449149.351209465,4254856.191897897
2DP,2023-02-17 10:00:00+00:00,35.6667,-75.9,0.06,-8449149.351209465,4254856.191897897
2DP,2023-02-17 11:00:00+00:00,35.6667,-75.9,0.0001,-8449149.351209465,4254856.191897897
2DP,2023-02-17 19:00:00+00:00,35.6667,-75.9,0.0001,-8449149.351209465,4254856.191897897
2DP,2023-02-17 20:00:00+00:00,35.6667,-75.9,0.0001,-8449149.351209465,4254856.191897897
2G2,2023-02-17 09:00:00+00:00,40.3594,-80.7001,0.12,-8983494.038966257,4918307.583703704
2G2,2023-02-17 10:00:00+00:00,40.3594,-80.7001,0.02,-8983494.038966257,4918307.583703704
2G9,2023-02-17 09:00:00+00:00,40.0389,-79.015,0.08,-8795909.565030511,4871596.732727253
2G9,2023-02-17 10:00:00+00:00,40.0389,-79.015,0.07,-8795909.565030511,4871596.732727253
2G9,2023-02-17 12:00:00+00:00,40.0389,-79.015,0.03,-8795909.565030511,4871596.732727253
2J3,2023-02-17 15:00:00+00:00,32.9865,-82.3857,0.08,-9171134.172647398,3893512.2012482365
2J3,2023-02-17 16:00:00+00:00,32.9865,-82.3857,0.24,-9171134.172647398,3893512.2012482365
2J3,2023-02-17 17:00:00+00:00,32.9865,-82.3857,0.01,-9171134.172647398,3893512.2012482365
2J5,2023-02-17 16:00:00+00:00,32.8935,-81.9654,0.02,-9124346.590666987,3881176.386522275
2J5,2023-02-17 17:00:00+00:00,32.8935,-81.9654,0.13,-9124346.590666987,3881176.386522275
2J5,2023-02-17 18:00:00+00:00,32.8935,-81.9654,0.08,-9124346.590666987,3881176.386522275
2M2,2023-02-16 23:00:00+00:00,35.2343,-87.2579,1.05,-9713504.995690387,4195767.339804764
2M2,2023-02-17 00:00:00+00:00,35.2343,-87.2579,0.15,-9713504.995690387,4195767.339804764
2M2,2023-02-17 01:00:00+00:00,35.2343,-87.2579,0.02,-9713504.995690387,4195767.339804764
2M2,2023-02-17 03:00:00+00:00,35.2343,-87.2579,0.34,-9713504.995690387,4195767.339804764
2M2,2023-02-17 04:00:00+00:00,35.2343,-87.2579,0.08,-9713504.995690387,4195767.339804764
2M2,2023-02-17 06:00:00+00:00,35.2343,-87.2579,0.02,-9713504.995690387,4195767.339804764
2M2,2023-02-17 07:00:00+00:00,35.2343,-87.2579,0.03,-9713504.995690387,4195767.339804764
2M2,2023-02-17 08:00:00+00:00,35.2343,-87.2579,0.01,-9713504.995690387,4195767.339804764
2W6,2023-02-17 14:00:00+00:00,38.3154,-76.5501,0.15,-8521518.152174171,4624077.5686156135
2W6,2023-02-17 15:00:00+00:00,38.3154,-76.5501,0.33,-8521518.152174171,4624077.5686156135
