,Station,OBS Time,Lat,Lon,Current WX,Temperature (F),Wind (mph),peak_wind_gust,Real Feel Temperature,1 Hour Precipitation,WX Code,ptype,color,Time,Max Gust (mph),id,category,description_id,geom,x,y
69,MDW,2023-02-16 22:53:00Z,41.786,-87.7524,-FZDZSN BR,32.00,15.0,28.0,20.78,0.01,-FZDZSN BR,0.0,#000000,2023-02-16 23:00:00+00:00,28.0,,,,,-9768552.48388766,5128976.989777991
70,OTM,2023-02-16 22:53:00Z,41.1008,-92.4446,Snow and/or Graupel,25.00,19.0,29.0,10.18,0.0001,-SN FZFG,1.0,#1f48cf,2023-02-16 23:00:00+00:00,29.0,,,,,-10290885.798587857,5027221.029140241
71,ILN,2023-02-16 22:54:00Z,39.4203,-83.8217,Rain,57.90,17.0,27.0,57.90,0.0001,-RA BR,6.0,#169c2f,2023-02-16 23:00:00+00:00,27.0,,,,,-9330988.96142654,4782056.011569788
72,BID,2023-02-16 22:56:00Z,41.17,-71.58,Rain,48.00,10.0,27.0,43.03,0.01,-RA,6.0,#169c2f,2023-02-16 23:00:00+00:00,27.0,,,,,-7968249.150982522,5037449.05465148
73,IND,2023-02-16 23:11:00Z,39.7084,-86.3048,Rain,53.10,23.0,29.0,53.10,0.0001,-RA BR,6.0,#169c2f,2023-02-17 00:00:00+00:00,29.0,,,,,-9607406.389015317,4823657.803583627
74,OTM,2023-02-16 23:14:00Z,41.1008,-92.4446,Snow and/or Graupel,25.00,20.0,27.0,9.84,0.0001,-SN BR,1.0,#1f48cf,2023-02-17 00:00:00+00:00,27.0,,,,,-10290885.798587857,5027221.029140241
75,PWK,2023-02-16 23:20:00Z,42.1208,-87.9047,Freezing Rain,32.00,15.0,30.0,20.78,0.0001,-FZRA BR,4.0,#e30bc6,2023-02-17 00:00:00+00:00,30.0,,,,,-9785506.442335477,5179091.909185362
76,PWK,2023-02-16 23:22:00Z,42.1208,-87.9047,Freezing Rain,32.00,12.0,30.0,22.00,0.0001,-FZRA BR,4.0,#e30bc6,2023-02-17 00:00:00+00:00,30.0,,,,,-9785506.442335477,5179091.909185362
77,ORD,2023-02-16 23:24:00Z,41.9875,-87.9319,Snow and/or Graupel,30.90,19.0,27.0,17.98,0.01,-SN BR,1.0,#1f48cf,2023-02-17 00:00:00+00:00,27.0,,,,,-9788534.332485052,5159107.1885415
78,MTO,2023-02-16 23:25:00Z,39.4779,-88.2792,Rain,37.90,13.0,38.0,29.13,0.0001,-RA,6.0,#169c2f,2023-02-17 00:00:00+00:00,38.0,,,,,-9827195.591637557,4790359.678640661
